Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u4f1f\u54e5\u597d"},"ios":{"alert":"\u4f1f\u54e5\u597d","sound":"iOS sound","badge":"+1","content-available":true}},"options":{"sendno":916415274,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u4f1f\u54e5\u597d"},"ios":{"alert":"\u4f1f\u54e5\u597d","sound":"iOS sound","badge":"+1","content-available":true}},"options":{"sendno":1561988669,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u4f1f\u54e5\u597d","extras":{"type":"1","eventid":"1"}},"ios":{"alert":"\u4f1f\u54e5\u597d","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"1","eventid":"1"}}},"options":{"sendno":3476185379,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u4f1f\u54e5\u597d","extras":{"type":"1","eventid":"1","time":"1466683781","msg":"\u4f1f\u54e5\u597d"}},"ios":{"alert":"\u4f1f\u54e5\u597d","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"1","eventid":"1","time":"1466683781","msg":"\u4f1f\u54e5\u597d"}}},"options":{"sendno":1918822780,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"dingdan","extras":{"type":"2","orderid":"1","time":"1466683854","msg":"dingdan"}},"ios":{"alert":"dingdan","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"2","orderid":"1","time":"1466683854","msg":"dingdan"}}},"options":{"sendno":1859840536,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"dingdan","extras":{"type":"2","orderid":"1","time":"1466684746","msg":"dingdan"}},"ios":{"alert":"dingdan","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"2","orderid":"1","time":"1466684746","msg":"dingdan"}}},"options":{"sendno":3545462756,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"dingdan","extras":{"type":"2","orderid":"1","time":"1466684762","msg":"dingdan"}},"ios":{"alert":"dingdan","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"2","orderid":"1","time":"1466684762","msg":"dingdan"}}},"options":{"sendno":2669210776,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838","extras":{"type":"2","orderid":"1","time":1467005585,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838"}},"ios":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"2","orderid":"1","time":1467005585,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838"}}},"options":{"sendno":4009890822,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5965\u8feaR8\u8f66\u53d6\u6d88\u4e2d","extras":{"type":"2","orderid":"1","time":1467261442,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5965\u8feaR8\u8f66\u53d6\u6d88\u4e2d"}},"ios":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5965\u8feaR8\u8f66\u53d6\u6d88\u4e2d","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"2","orderid":"1","time":1467261442,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5965\u8feaR8\u8f66\u53d6\u6d88\u4e2d"}}},"options":{"sendno":2869580791,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u5df2\u53d6\u6d88","extras":{"type":"2","orderid":"1","time":1467261574,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u5df2\u53d6\u6d88"}},"ios":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u5df2\u53d6\u6d88","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"2","orderid":"1","time":1467261574,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u5df2\u53d6\u6d88"}}},"options":{"sendno":4240277764,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838","extras":{"type":"2","orderid":"1","time":1467261757,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838"}},"ios":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"2","orderid":"1","time":1467261757,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838"}}},"options":{"sendno":405702508,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838","extras":{"type":"2","orderid":"1","time":1467261786,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838"}},"ios":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"2","orderid":"1","time":1467261786,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838"}}},"options":{"sendno":2598643347,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838","extras":{"type":"2","orderid":"1","time":1467261973,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838"}},"ios":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"2","orderid":"1","time":1467261973,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838"}}},"options":{"sendno":1369035893,"time_to_live":863999,"apns_production":false}}, times:1
Send POST https://api.jpush.cn/v3/push, body:{"platform":"all","audience":{"registration_id":["18171adc030d3f21608"]},"notification":{"android":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838","extras":{"type":"2","orderid":"1","time":1467262618,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838"}},"ios":{"alert":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838","sound":"iOS sound","badge":"+1","content-available":true,"extras":{"type":"2","orderid":"1","time":1467262618,"msg":"\u60a8\u597d\uff0c\u60a8\u9884\u8ba2\u7684\u5b9d\u9a6c730\u8f66\u6b63\u5728\u7b49\u5f85\u5ba1\u6838"}}},"options":{"sendno":2400186752,"time_to_live":863999,"apns_production":false}}, times:1
